time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2022-11-03T00:00:00Z,67,,71,,607.5,5.2,4.9,10.41,9.008,10.41,9.008
2022-11-03T01:00:00Z,67,,71,,607.5,5.7,5.3,11.755,10.059,11.755,10.059
2022-11-03T02:00:00Z,67,,71,,607.5,4.7,4.5,9.724,8.274,9.724,8.274
2022-11-03T03:00:00Z,67,,71,,607.5,3.9,3.8,8.021,6.99,8.021,6.99
2022-11-03T04:00:00Z,67,,71,,607.5,3.5,3.2,6.788,5.76,6.788,5.76
2022-11-03T05:00:00Z,67,,71,,607.5,3.3,3.2,6.293,5.694,6.293,5.694
2022-11-03T06:00:00Z,67,,71,,607.5,3.3,3.1,6.557,5.841,6.557,5.841
2022-11-03T07:00:00Z,67,,71,,607.5,3.3,3.1,7.137,5.748,7.137,5.748
2022-11-03T08:00:00Z,67,,71,,607.5,2.8,2.7,5.473,4.828,5.473,4.828
2022-11-03T09:00:00Z,67,,71,,607.5,2.7,2.5,5.311,4.489,5.311,4.489
2022-11-03T10:00:00Z,67,,71,,607.5,2.8,2.6,5.481,4.708,5.481,4.708
2022-11-03T11:00:00Z,67,,71,,607.5,3,2.8,5.862,5.121,5.862,5.121
2022-11-03T12:00:00Z,67,,71,,607.5,3.2,3.1,6.647,5.715,6.647,5.715
2022-11-03T13:00:00Z,67,,71,,607.5,3.3,3.2,6.531,5.837,6.531,5.837
2022-11-03T14:00:00Z,67,,71,,607.5,3.9,3.8,7.291,6.464,7.291,6.464
2022-11-03T15:00:00Z,67,,71,,607.5,4,3.7,7.135,5.721,7.135,5.721
2022-11-03T16:00:00Z,67,,71,,607.5,3.9,3.7,6.379,5.883,6.379,5.883
2022-11-03T17:00:00Z,67,,71,,607.5,4,3.8,6.372,6.035,6.372,6.035
2022-11-03T18:00:00Z,67,,71,,607.5,3.5,3.3,5.547,5.224,5.547,5.224
2022-11-03T19:00:00Z,67,,71,,607.5,3.4,3.3,5.428,5.203,5.428,5.203
2022-11-03T20:00:00Z,67,,71,,607.5,3.3,3.1,5.091,4.801,5.091,4.801
2022-11-03T21:00:00Z,67,,71,,607.5,3.6,3.5,6.043,5.502,6.043,5.502
2022-11-03T22:00:00Z,67,,71,,607.5,4.5,4.3,8.21,6.858,8.21,6.858
2022-11-03T23:00:00Z,67,,71,,607.5,4.5,4.4,8.232,7.121,8.232,7.121
2022-11-04T00:00:00Z,67,,71,,607.5,3.4,3.2,6.017,4.882,6.017,4.882
2022-11-04T01:00:00Z,67,,71,,607.5,3.7,3.6,6.658,5.837,6.658,5.837
2022-11-04T02:00:00Z,67,,71,,607.5,3.6,3.5,6.616,5.877,6.616,5.877
2022-11-04T03:00:00Z,67,,71,,607.5,3.7,3.6,7.142,6.447,7.142,6.447
