time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2022-11-03T00:00:00Z,49.483,,58.883,,1026.619,7.9,8.5,13.143,13.649,13.143,13.649
2022-11-03T01:00:00Z,51.77,,56.966,,1026.89,8.6,9.1,14.555,14.614,14.555,14.614
2022-11-03T02:00:00Z,54.533,,55.2,,1027.371,9.6,10.4,16.291,17.238,16.291,17.238
2022-11-03T03:00:00Z,56.666,,53.517,,1027.628,9.9,10.5,16.658,17.355,16.658,17.355
2022-11-03T04:00:00Z,58.584,,51.966,,1027.615,10.1,10.4,17.404,17.838,17.404,17.838
2022-11-03T05:00:00Z,60.611,,50.88,,1028.051,8.5,8.6,13.899,14.159,13.899,14.159
2022-11-03T06:00:00Z,63,,49.712,,1028.379,8.5,8.7,14.174,14.432,14.174,14.432
2022-11-03T07:00:00Z,63.9,,48.733,,1028.576,8.6,8.7,14.651,14.526,14.651,14.526
2022-11-03T08:00:00Z,64.875,,47.767,,1029.014,7.9,8,12.944,12.695,12.944,12.695
2022-11-03T09:00:00Z,65.066,,46.875,,1029.44,7.5,7.6,12.227,12.448,12.227,12.448
2022-11-03T10:00:00Z,65.555,,46,,1029.612,9,8.9,14.779,15.635,14.786,15.635
2022-11-03T11:00:00Z,65.933,,45.85,,1029.846,8.4,8.7,13.887,15.099,13.887,15.099
2022-11-03T14:00:00Z,41,,65,,1030.46,11.5,12.8,19.49,19.58,19.49,19.58
2022-11-04T16:00:00Z,33.5,,81,,1026.625,2.1,2.1,1.855,1.837,1.855,1.837
2022-11-04T17:00:00Z,34.778,,79.75,,1026.081,1.8,2.5,1.372,2.677,1.372,2.677
2022-11-04T18:00:00Z,36.819,,78.163,,1025.047,2.2,2.7,2.353,2.948,2.353,2.948
2022-11-04T19:00:00Z,37.889,,77.228,,1024.788,4.4,5,6.534,7.255,6.601,7.318
2022-11-04T20:00:00Z,42.416,,75.084,,1024.656,1.8,2.4,1.361,3.083,1.361,3.083
2022-11-04T21:00:00Z,46.166,,72.625,,1024.665,1.7,2.2,1.377,2.5,1.377,2.5
2022-11-04T22:00:00Z,52.5,,70.834,,1025.294,2.3,2.9,2.397,3.787,2.397,3.787
2022-11-04T23:00:00Z,58,,68,,1025.057,3.2,3.7,4.268,5.275,4.268,5.275
2022-11-05T00:00:00Z,62.666,,66.666,,1025.697,3.8,4,4.885,5.824,4.885,5.824
2022-11-05T02:00:00Z,66.5,,64.5,,1025.455,3.4,3.5,4.09,5.225,4.09,5.225
2022-11-05T03:00:00Z,68,,64,,1025.35,4,4.6,5.05,6.69,5.05,6.69
2022-11-05T05:00:00Z,70,,62,,1024.6,3.7,4.4,5.69,7.49,5.69,7.49
2022-11-05T06:00:00Z,71,,61,,1024.33,3.3,3.7,4.87,4.93,4.87,4.93
2022-11-05T08:00:00Z,72,,62,,1023.95,2.7,3.4,2.47,4.48,2.47,4.48
2022-11-05T11:00:00Z,71,,64,,1023.86,3.8,4.6,4.57,6.14,4.57,6.14
