time_stamp,humidity_a,humidity_b,temperature_a,temperature_b,pressure,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
2022-12-15T17:00:00Z,41.9,,46.133,,1020.555,6.6,6.9,10.809,11.711,10.809,11.711
2022-12-15T18:00:00Z,47.834,,44.133,,1020.572,5.5,5.5,9.244,9.036,9.244,9.036
2022-12-15T19:00:00Z,50.9,,44.767,,1020.174,3.9,4.2,6.263,6.671,6.263,6.671
2022-12-15T20:00:00Z,53.5,,45,,1019.85,2.5,2.6,3.655,3.838,3.655,3.838
2022-12-15T21:00:00Z,56.533,,44.933,,1019.725,3.3,3.5,5.051,5.287,5.14,5.368
2022-12-15T22:00:00Z,57.767,,44.966,,1019.626,2.5,2.6,3.576,3.747,3.576,3.747
2022-12-15T23:00:00Z,58,,45,,1019.497,2.7,2.8,4.084,4.111,4.084,4.111
2022-12-16T00:00:00Z,58.334,,45,,1018.232,3.5,3.5,5.45,5.357,5.45,5.357
2022-12-16T01:00:00Z,60.034,,44.966,,1016.8,1.8,1.9,2.419,2.398,2.419,2.398
2022-12-16T02:00:00Z,61.666,,44.3,,1017.61,1.7,1.7,2.093,2.119,2.093,2.119
2022-12-16T03:00:00Z,66.166,,43.067,,1016.671,5.1,5.1,8.57,8.161,8.57,8.161
2022-12-16T04:00:00Z,68.1,,42.733,,1015.726,8.1,7.9,13.495,13.497,13.495,13.497
2022-12-16T05:00:00Z,68.5,,43.7,,1014.447,2.2,2.3,3.014,2.972,3.014,2.972
2022-12-16T06:00:00Z,67.633,,44.534,,1013.527,1,1,0.956,0.811,0.956,0.811
2022-12-16T07:00:00Z,67,,44.933,,1012.783,0.5,0.6,0.171,0.184,0.171,0.184
2022-12-16T08:00:00Z,67.267,,44.8,,1011.8,0.4,0.4,0.074,0.034,0.074,0.034
2022-12-16T09:00:00Z,68.233,,44.034,,1010.818,0.3,0.3,0.013,0.007,0.013,0.007
2022-12-16T10:00:00Z,68.9,,44,,1009.781,0.3,0.3,0.049,0.052,0.049,0.052
2022-12-16T11:00:00Z,69.034,,44,,1008.918,0.4,0.4,0.063,0.063,0.063,0.063
2022-12-16T12:00:00Z,69.367,,44,,1008.33,0.6,0.6,0.427,0.385,0.428,0.393
2022-12-16T13:00:00Z,70.167,,44,,1007.308,0.6,0.6,0.302,0.322,0.302,0.322
2022-12-16T14:00:00Z,70.966,,43.4,,1006.361,1.7,1.7,2.192,2.059,2.192,2.059
2022-12-16T15:00:00Z,71.309,,42,,1005.158,0.9,0.9,0.74,0.653,0.74,0.653
2022-12-16T16:00:00Z,71.525,,42,,1003.854,0.6,0.6,0.271,0.179,0.271,0.179
2022-12-16T17:00:00Z,71.1,,41.784,,1002.791,1.1,1.1,1.136,1.194,1.151,1.219
2022-12-16T18:00:00Z,70.934,,42,,1001.745,0.8,0.8,0.582,0.565,0.582,0.565
2022-12-16T19:00:00Z,71.4,,41.867,,1001.216,0.9,0.9,0.769,0.802,0.769,0.802
2022-12-16T20:00:00Z,71.633,,42,,1000.606,0.8,0.9,0.621,0.659,0.621,0.659
2022-12-16T21:00:00Z,71.867,,42.1,,1000.147,0.8,0.8,0.621,0.576,0.621,0.576
2022-12-16T22:00:00Z,71.333,,42,,999.941,1.2,1.3,1.373,1.374,1.373,1.374
2022-12-16T23:00:00Z,70.8,,42.166,,1000.022,1.3,1.4,1.433,1.577,1.433,1.577
2022-12-17T00:00:00Z,70.934,,42.166,,999.718,1.5,1.5,1.772,1.681,1.772,1.681
2022-12-17T01:00:00Z,70.434,,42,,999.653,1.1,1.1,1.137,1.116,1.137,1.116
2022-12-17T02:00:00Z,69.7,,42,,999.471,1,1,0.885,0.928,0.885,0.928
